 20181007
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       58260   9999.00000       1.55806470       1.07400000    
       58320   9999.00000       1.55787921       1.07400000    
       58380   9999.00000       1.55787921       1.07400000    
       58440   9999.00000       1.55782914       1.07400000    
       58500   9999.00000       1.55782914       1.07400000    
       58560   9999.00000       1.55799115       1.07400000    
       58620   9999.00000       1.55799115       1.07400000    
       58680   9999.00000       1.55834734       1.07400000    
       58740   9999.00000       1.55834734       1.07400000    
       58800   9999.00000       1.55879152       1.07400000    
       58860   9999.00000       1.55879152       1.07400000    
       58920   9999.00000       1.55943084       1.07400000    
       58980   9999.00000       1.55943084       1.07400000    
       59040   9999.00000       1.56024778       1.07400000    
       59100   9999.00000       1.56024778       1.07400000    
       59160   9999.00000       1.56095016       1.07400000    
       59220   9999.00000       1.56095016       1.07400000    
       59280   9999.00000       1.56160033       1.07400000    
       59340   9999.00000       1.56160033       1.07400000    
       59400   9999.00000       1.56222928       1.07400000    
       59460   9999.00000       1.56222928       1.07400000    
       59520   9999.00000       1.56292892       1.07400000    
       59580   9999.00000       1.56292892       1.07400000    
       59640   9999.00000       1.56347775       1.07400000    
       59700   9999.00000       1.56347775       1.07400000    
       59760   9999.00000       1.56386709       1.07400000    
       59820   9999.00000       1.56386709       1.07400000    
       59880   9999.00000       1.56428456       1.07400000    
       59940   9999.00000       1.56428456       1.07400000    
       60000   9999.00000       1.56483328       1.07400000    
       60060   9999.00000       1.56483328       1.07400000    
       60120   9999.00000       1.56552947       1.07400000    
       60180   9999.00000       1.56552947       1.07400000    
       60240   9999.00000       1.56623828       1.07400000    
       60300   9999.00000       1.56623828       1.07400000    
       60360   9999.00000       1.56701648       1.07400000    
       60420   9999.00000       1.56701648       1.07400000    
       60480   9999.00000       1.56772077       1.07400000    
       60540   9999.00000       1.56772077       1.07400000    
       60600   9999.00000       1.56818497       1.07400000    
       60660   9999.00000       1.56818497       1.07400000    
       60720   9999.00000       1.56823385       1.07400000    
       60780   9999.00000       1.56823385       1.07400000    
       60840   9999.00000       1.56805754       1.07400000    
       60900   9999.00000       1.56805754       1.07400000    
       60960   9999.00000       1.56789649       1.07400000    
       61020   9999.00000       1.56789649       1.07400000    
