 20180902
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
       36660  0.739107132      0.526188016      0.737999976    
       36720  0.739107132      0.526277006      0.737999976    
       36780  0.739758611      0.526277006      0.737999976    
       36840  0.738214314      0.526361227      0.737999976    
       36900  0.737137914      0.526361227      0.737999976    
       36960  0.737035692      0.526602685      0.737999976    
       37020  0.735758603      0.526602685      0.737999976    
       37080  0.735758603      0.526744783      0.737999976    
       37140  0.735428572      0.526744783      0.737999976    
       37200  0.734103441      0.526746154      0.737999976    
       37260  0.733749986      0.526746154      0.737999976    
       37320  0.732071400      0.526635885      0.737999976    
       37380  0.732071400      0.526635885      0.737999976    
       37440  0.730428576      0.526411414      0.737999976    
       37500  0.730428576      0.526411414      0.737999976    
       37560  0.730428576      0.526245236      0.737999976    
       37620  0.731999993      0.526245236      0.737999976    
       37680  0.729571402      0.526124179      0.737999976    
       37740  0.729571402      0.526124179      0.737999976    
       37800  0.727965534      0.525907755      0.737999976    
       37860  0.726310372      0.525907755      0.737999976    
       37920  0.726310372      0.525508285      0.737999976    
       37980  0.726178586      0.525508285      0.737999976    
       38040  0.724607170      0.525116146      0.737999976    
       38100  0.724607170      0.525116146      0.737999976    
       38160  0.723821402      0.524646044      0.737999976    
       38220  0.723821402      0.524646044      0.737999976    
       38280  0.722896576      0.524104893      0.737999976    
       38340  0.722310364      0.524104893      0.737999976    
       38400  0.722310364      0.523560941      0.737999976    
       38460  0.724689662      0.523560941      0.737999976    
       38520  0.721428573      0.522995532      0.737999976    
       38580  0.722172439      0.522995532      0.737999976    
       38640  0.720892847      0.522454321      0.737999976    
       38700  0.720068991      0.522454321      0.737999976    
       38760  0.720107138      0.521937847      0.737999976    
       38820  0.720107138      0.521937847      0.737999976    
       38880  0.719482780      0.521419942      0.737999976    
       38940  0.719178557      0.521419942      0.737999976    
       39000  0.718482733      0.520891070      0.737999976    
       39060  0.717448294      0.520891070      0.737999976    
       39120  0.717448294      0.520363927      0.737999976    
       39180  0.716103435      0.520363927      0.737999976    
       39240  0.715535700      0.519862056      0.737999976    
       39300  0.715535700      0.519862056      0.737999976    
       39360  0.715535700      0.519429743      0.737999976    
       39420  0.717793107      0.519429743      0.737999976    
       39480  0.714999974      0.519039989      0.683000028    
       39540  0.714999974      0.519039989      0.683000028    
       39600  0.713862062      0.518713057      0.683000028    
       39660  0.713857114      0.518713057      0.683000028    
       39720  0.712964296      0.518363655      0.683000028    
